Cruise,Station,state,rep,7.5,15,25,35,45
2164,1,c24,2,63.00000001,18.08333333,2.333333333,0,0.583333333
2164,1,c24,3,83.05988022,9.874251495,4.065868262,0,0
2164,1,t24,1,39.27586207,18.75862069,6.448275862,1.75862069,1.75862069
2164,1,t24,2,128.278302,83.20754721,23.11320756,3.466981134,6.933962268
2164,1,t24,3,192.1529746,162.7648726,32.77903684,6.781869692,4.521246462
2164,3,c0,1,453.4363143,65.60975609,14.5799458,2.91598916,1.45799458
2164,3,c0,2,890.0999989,66.90294109,20.36176468,8.726470578,2.908823526
2164,3,c0,3,487.747508,69.12956806,13.44186046,5.760797339,1.92026578
2164,3,c24,1,322.7179486,70.55840453,10.41025641,2.313390313,0
2164,3,c24,2,277.4952681,69.65930598,10.27760252,2.283911672,2.283911671
2164,3,c24,3,209.8245614,46.75438596,3.421052631,0,0
2164,3,t24,1,249.0131006,56.5938865,14.14847163,2.829694325,1.414847162
2164,3,t24,2,201.9278689,78.27540985,41.9737705,14.74754099,9.075409838
2164,3,t24,3,327.8571426,131.142857,50.1428571,13.49999999,17.35714284
2164,5,c0,1,346.7961165,166.7572816,59.02912621,23.61165048,11.80582524
2164,5,c0,2,483.162791,250.7375416,76.06644522,23.94684387,14.08637875
2164,5,c0,3,613.7411098,272.7738265,98.66287343,20.31294453,14.50924609
2164,5,c24,1,78.49101799,25.70059881,8.335329344,0.694610779,2.778443114
2164,5,c24,2,89.94827584,35.72413792,12.12068965,2.551724138,7.655172412
2164,5,c24,3,61.03124999,11.8125,9.187499999,0.65625,1.3125
2164,5,t24,1,101.101626,67.96747966,15.29268292,12.74390244,11.89430894
2164,5,t24,2,78.64077672,42.23300972,16.01941748,5.82524272,7.2815534
2164,5,t24,3,121.6061776,69.89961388,36.38610037,11.49034749,8.617760616
2164,7,c0,1,115.3602484,28.13664595,5.62732919,1.875776397,0
2164,7,c0,2,275.3467154,102.3540146,11.53284672,2.883211679,2.88321168
2164,7,c0,3,228.9333334,60.06666668,14.73333334,2.266666667,0
2164,7,c24,1,61.0105263,26.14736841,4.842105262,0,0
2164,7,c24,2,44.06888068,14.13530135,4.157441574,0.831488315,0.831488315
2164,7,c24,3,37.71604939,7.543209878,1.740740741,0,0
2164,7,t24,1,46.40559442,24.08391609,9.398601401,1.762237763,2.349650351
2164,7,t24,2,38.16513761,18.78899083,5.28440367,1.76146789,0
