Cruise,Station,state,rep,7.5,12.5,17.5,22.5,27.5,32.5,37.5,42.5,47.5
2164,5,c24,2,89.94827584,20.4137931,15.31034482,5.103448274,7.017241377,1.275862069,1.275862069,1.275862069,6.379310343
2164,5,c24,3,61.03124999,9.187499999,2.625,6.562499999,2.625,0.65625,0,1.3125,0
2164,5,t24,1,101.101626,42.47967479,25.48780487,6.796747966,8.495934958,5.097560975,7.646341462,5.947154471,5.947154471
2164,5,t24,2,78.64077672,30.58252428,11.65048544,11.65048544,4.36893204,2.18446602,3.6407767,2.18446602,5.09708738
2164,5,t24,3,121.6061776,44.04633203,25.85328185,22.98069497,13.4054054,7.660231658,3.830115829,2.872586872,5.745173744
2164,7,c0,1,115.3602484,20.63354036,7.503105587,3.751552793,1.875776397,0,1.875776397,0,0
2164,7,c0,2,275.3467154,61.9890511,40.36496351,7.208029198,4.324817519,2.883211679,0,1.44160584,1.44160584
2164,7,c0,3,228.9333334,45.33333334,14.73333334,7.933333335,6.800000001,2.266666667,0,0,0
2164,7,c24,1,61.0105263,18.39999999,7.747368418,0,4.842105262,0,0,0,0
2164,7,c24,2,44.06888068,9.146371463,4.988929889,1.66297663,2.494464944,0.831488315,0,0.831488315,0
2164,7,c24,3,37.71604939,6.962962964,0.580246914,1.160493827,0.580246914,0,0,0,0
2164,7,t24,1,46.40559442,12.33566434,11.74825175,5.286713288,4.111888113,0.587412588,1.174825175,0.587412588,1.762237763
2164,7,t24,2,38.16513761,11.74311927,7.04587156,3.52293578,1.76146789,1.76146789,0,0,0
2164,7,t24,3,36.75000001,9.916666668,4.666666667,0.583333333,1.75,1.166666667,0,0,1.166666667
2164,9,c0,1,134.4675925,28.26388888,11.99074074,5.995370368,0.856481481,2.569444443,0,0.856481481,0
2164,9,c0,2,74.21084338,14.02409639,6.427710844,2.337349398,0,0,0,0,0
2164,9,c0,3,111.8781726,18.40101522,7.36040609,2.208121827,3.680203045,0.736040609,0.736040609,0,0
2164,9,c24,1,69.48275864,24.65517242,15.68965518,12.70114943,5.977011496,1.494252874,0,0,0
2164,9,c24,2,23.53448276,5.431034483,1.206896552,0.603448276,2.413793104,0,1.206896552,0,0.603448276
2164,9,c24,3,33.57534246,5.301369862,2.356164383,0.589041096,0.589041096,0,0.589041096,0,0
2164,9,t24,1,89.45454545,13.09090909,5.818181818,0,2.909090909,0,0,0.727272727,0
2164,9,t24,2,57.80136985,15.49315068,4.767123286,2.979452054,2.979452054,0,1.787671232,0.595890411,0.595890411
2164,9,t24,3,34.79999999,9.599999998,8.999999998,7.799999998,3.599999999,2.4,1.2,0,0.6
2164,11,c0,1,383.8594848,46.32786885,23.16393443,8.824355972,2.206088993,2.206088993,1.103044496,2.206088993,1.103044496
2164,11,c0,2,663.7727269,105.4227272,42.94999998,21.47499999,11.71363636,9.761363631,0,1.952272726,1.952272726
2164,11,c0,3,405.816092,55.47126437,24.81609196,8.758620691,5.83908046,1.459770115,2.91954023,1.459770115,1.459770115
