"c_0","phi_0","a_0","a_py","a_pd","E_a","R_opt","gamma","h_0","h_py","h_pd","E_h"
30541.7422631667,402.839274340588,264207.822306161,11688293801.3277,917.468559643948,415.245337829996,342.936696654665,608.212169814399,425.109351091081,415.315983794729,218.481355974894,415.268355740316
28615.7029006563,402.797019873879,261781.433539067,11673955818.5557,905.879185606194,415.245414692196,350.879721986808,606.952321590525,425.059787639354,415.316418246686,218.483400188319,415.268355696994
26873.064967154,402.75744175782,259366.909732053,11659130267.7674,894.548798301453,415.245491554456,359.848178218177,605.702182859956,425.010297842537,415.316848358748,218.485512752921,415.268355653673
25290.9784974083,402.720556138164,256964.240248394,11643794061.5777,883.471214091988,415.245568416777,369.424048592702,604.46165663604,424.960881438743,415.317274163092,218.487695993717,415.268355610351
23850.0685632643,402.686379343493,254573.414486703,11627923335.4068,872.640407925696,415.24564527916,379.114497492883,603.230647106994,424.911538167544,415.317695691637,218.48995231714,415.268355567029
22533.8170327666,402.654927887085,252194.421880711,11611493434.8455,862.050509055498,415.245722141604,388.40749337598,602.009059619333,424.862267769966,415.318112976051,218.492284214016,415.268355523708
21328.0693590597,402.626218468791,249827.251899033,11594478904.4383,851.695796879127,415.245799004108,396.826068875231,600.796800661559,424.813069988471,415.31852604775,218.494694262658,415.268355480386
20220.6382436878,402.600267976937,247471.894044952,11576853478.0801,841.570696895812,415.245875866674,403.971976042897,599.593777848115,424.763944566954,415.3189349379,218.497185132083,415.268355437064
19200.982970109,402.577093490238,245128.337856192,11558590071.2302,831.669776776469,415.245952729301,409.553624095992,598.399899903592,424.714891250723,415.31933967742,218.499759585348,415.268355393742
18259.9482954967,402.556712279734,242796.572904702,11539660775.1615,821.987742544106,415.246029591989,413.397439618758,597.215076647183,424.665909786497,415.319740296984,218.502420483019,415.26835535042
17389.5505555447,402.539141810751,240476.588796437,11520036853.4714,812.519434861241,415.246106454738,415.444956835866,596.03921897739,424.616999922389,415.320136827022,218.50517078678,415.268355307099
16582.8014484865,402.524399744864,238168.375171141,11499688741.0952,803.259825421253,415.246183317548,415.73962161072,594.87223885697,424.568161407899,415.320529297724,218.508013563172,415.268355263777
15833.5620810648,402.512503941898,235871.921702137,11478586046.0708,794.204013440626,415.246260180419,414.407634887544,593.714049298114,424.519393993903,415.320917739038,218.510951987487,415.268355220455
15136.4214654078,402.503472461937,233587.218096112,11456697554.3116,785.347222249205,415.246337043351,411.636595525711,592.564564347869,424.470697432641,415.321302180676,218.513989347814,415.268355177133
14486.5948840033,402.497323567355,231314.254092908,11433991237.6564,776.684795975601,415.246413906344,407.654696580837,591.423699073782,424.422071477707,415.321682652115,218.517129049237,415.268355133811
13879.8384859338,402.494075724863,229053.019465315,11410434265.4662,768.212196325019,415.246490769399,402.712161580098,590.291369549774,424.373515884042,415.322059182596,218.520374618205,415.268355090489
13312.3772110916,402.493747607587,226803.504018864,11385993020.0477,759.924999446829,415.246567632514,397.065716058397,589.167492842229,424.325030407921,415.322431801129,218.523729707068,415.268355047167
12780.8437115981,402.496358097149,224565.697591622,11360633116.1813,751.818892889302,415.246644495691,390.966273698586,588.051986996311,424.276614806943,415.322800536495,218.5271980988,415.268355003845
12282.2263892356,402.501926285783,222339.59005399,11334319425.0357,743.889672638993,415.246721358928,384.649668892424,586.944771022489,424.228268840023,415.323165417245,218.530783711895,415.268354960523
11813.825022797,402.510471478461,220125.171308501,11307016102.745,736.13324024234,415.246798222227,378.330120274228,585.845764883268,424.179992267379,415.323526471704,218.534490605469,415.268354917201
11373.2127413045,402.522013195042,217922.431289624,11278686623.921,728.545600007111,415.246875085587,372.196076433825,584.754889480137,424.131784850527,415.323883727973,218.538322984555,415.268354873879
10958.2033242597,402.536571172444,215731.359963564,11249293820.3634,721.122856281408,415.246951949007,366.40810252618,583.672066640709,424.083646352268,415.324237213929,218.542285205609,415.268354830557
10566.8229908167,402.554165366834,213551.947328065,11218799925.2185,713.861210807997,415.247028812489,361.098470983646,582.597219106072,424.035576536679,415.32458695723,218.546381782235,415.268354787235
10197.2859855258,402.574815955835,211384.183412222,11187166622.8186,706.756960151807,415.247105676032,356.372107662864,581.530270518328,423.987575169104,415.324932985312,218.550617391133,415.268354743913
9847.97338636849,402.598543340762,209228.058276281,11154355104.4154,699.806493198495,415.247182539636,352.308525122747,580.471145408323,423.939642016146,415.325275325394,218.554996878286,415.268354700591
9517.41465689618,402.62536814887,207083.562011454,11120326129.9939,693.006288722051,415.247259403302,348.964365288928,579.419769183579,423.891776845655,415.325614004481,218.559525265386,415.268354657269
9204.27154280695,402.655311235628,204950.684739728,11085040096.322,686.352913019456,415.247336267028,346.376190471804,578.376068116395,423.843979426721,415.325949049362,218.564207756518,415.268354613947
8907.32397772793,402.688393687015,202829.416613678,11048457111.3578,679.843017610486,415.247413130815,344.56321157423,577.339969332145,423.796249529665,415.326280486614,218.569049745107,415.268354570625
8625.4577160482,402.724636821828,200719.74781628,11010537075.0951,673.473337000795,415.247489994663,343.529721638481,576.311400797751,423.748586926028,415.326608342603,218.574056821136,415.268354527303
8357.65345453513,402.764062194027,198621.668560729,10971239766.8827,667.240686506468,415.247566858573,343.267099578114,575.29029131033,423.700991388564,415.326932643487,218.579234778651,415.268354483981
8102.97724088751,402.806691595084,196535.169090255,10930524939.2045,661.141960138301,415.247643722544,343.755347126369,574.276570486021,423.653462691232,415.327253415215,218.584589623562,415.268354440658
7860.57199770849,402.852547056367,194460.239677942,10888352417.8516,655.1741285441,415.247720586575,344.964206664224,573.270168748974,423.606000609184,415.327570683532,218.590127581748,415.268354397336
7629.65001572275,402.901650851538,192396.87062655,10844682208.3623,649.33423700734,415.247797450668,346.853967911191,572.27101732052,423.55860491876,415.327884473977,218.59585510748,415.268354354014
7409.48629130506,402.954025498975,190345.052268334,10799474608.5424,643.619403500602,415.247874314822,349.376102603122,571.27904820849,423.511275397476,415.328194811887,218.601778892181,415.268354310692
7199.41260124929,403.009693764216,188304.77496487,10752690326.8147,638.026816792202,415.247951179036,352.473869127596,570.294194196714,423.464011824019,415.328501722399,218.607905873517,415.26835426737
6998.81222277187,403.068678662425,186276.029106881,10704290606.0825,632.55373460453,415.248028043312,356.083008918091,569.316388834663,423.416813978236,415.32880523045,218.614243244851,415.268354224047
6807.11521948637,403.131003460879,184258.80511406,10654237352.7236,627.197481822614,415.248104907649,360.1326209823,568.34556642726,423.369681641128,415.32910536078,218.620798465064,415.268354180725
6623.79422489409,403.196691681479,182253.0934349,10602493270.2659,621.955448751492,415.248181772047,364.546258600802,567.381662024839,423.322614594838,415.329402137931,218.627579268755,415.268354137403
6448.36066412891,403.265767103279,180258.884546522,10549021997.2321,616.825089421011,415.248258636507,369.243250413268,566.424611413257,423.275612622646,415.329695586252,218.634593676836,415.26835409408
6280.36136253372,403.338253765044,178276.168954511,10493788248.578,611.803919936708,415.248335501027,374.14021241191,565.47435110416,423.228675508962,415.329985729899,218.641850007539,415.268354050758
6119.37549634832,403.414175967823,176304.937192739,10436757960.0936,606.889516875469,415.248412365608,379.152691199054,564.530818325384,423.181803039314,415.330272592835,218.649356887842,415.268354007436
5965.01184653242,403.493558277551,174345.179823207,10377898435.0857,602.079515724714,415.24848923025,384.196863557375,563.593951011514,423.134995000343,415.330556198835,218.657123265335,415.268353964113
5816.90632168221,403.576425527671,172396.887435876,10317178492.6141,597.371609363859,415.248566094954,389.191212539382,562.663687794575,423.088251179793,415.330836571483,218.665158420538,415.268353920791
5674.71972024792,403.662802821775,170460.050648504,10254568616.5232,592.763546586884,415.248642959719,394.058104331937,561.739967994865,423.041571366506,415.331113734179,218.673471979687,415.268353877469
5538.13570592696,403.752715536276,168534.660106483,10190041104.4823,588.253130664839,415.248719824544,398.725200858806,560.822731611931,422.994955350412,415.331387710135,218.682073928003,415.268353834146
5406.85897327843,403.846189323094,166620.70648268,10123570216.2365,583.838217947161,415.248796689431,403.126658016399,559.911919315667,422.948402922522,415.33165852238,218.690974623456,415.268353790824
5280.613583354,403.943250112374,164718.180477276,10055132320.2681,579.516716500724,415.248873554379,407.204076304567,559.007472437557,422.901913874921,415.33192619376,218.700184811054,415.268353747501
5159.14145152709,404.043924115217,162827.072817606,9984706038.07659,575.28658478555,415.248950419388,410.907187488547,558.109332962046,422.855488000759,415.33219074694,218.709715637648,415.268353704179
5042.20097178017,404.148237826442,160947.374258006,9912272385.31153,571.145830366158,415.249027284458,414.194276354635,557.217443518028,422.809125094244,415.332452204405,218.719578667298,415.268353660856
4929.56576352103,404.25621802737,159079.075579655,9837814909.02482,567.092508657555,415.249104149589,417.032349639031,556.331747370478,422.762824950638,415.332710588462,218.729785897191,415.268353617534
4821.02352858157,404.367891788626,157222.167590418,9761319820.35564,563.124721704896,415.249181014781,419.397074307534,555.452188412195,422.716587366243,415.332965921242,218.740349774148,415.268353574211
4716.37500743725,404.483286472974,155376.641124697,9682776122.0171,559.240616995863,415.249257880034,421.272514411639,554.578711155669,422.6704121384,415.333218224698,218.751283211719,415.268353530889
4615.43302489975,404.602429738162,153542.487043279,9602175730.01738,555.438386304871,415.249334745348,422.650699897626,553.711260725075,422.624299065478,415.333467520612,218.762599607897,415.268353487566
4518.02161660127,404.725349539808,151719.696233181,9519513589.11762,551.716264568185,415.249411610723,423.531062346089,552.849782848374,422.578247946868,415.333713830591,218.77431286346,415.268353444244
4423.97522852734,404.852074134288,149908.259607503,9434787781.60155,548.072528789113,415.24948847616,423.919772126934,551.994223849541,422.532258582977,415.33395717607,218.786437400956,415.268353400921
4333.13798268151,404.98263208167,148108.168105281,9347999629.00458,544.505496972408,415.249565341657,423.829009367295,551.144530640897,422.486330775219,415.334197578318,218.798988184354,415.268353357599
4245.36300269471,405.117052248654,146319.412691337,9259153786.51993,541.013527087101,415.249642207216,423.276197935118,550.300650715565,422.440464326011,415.334435058431,218.811980739371,415.268353314276
4160.51179383707,405.255363811546,144541.984356136,9168258329.86275,537.595016056936,415.249719072836,422.283227780529,549.462532140021,422.394659038761,415.334669637339,218.825431174492,415.268353270953
4078.45367246115,405.397596259251,142775.874115639,9075324834.42672,534.248398777676,415.249795938516,420.875686824079,548.630123546772,422.348914717868,415.334901335807,218.839356202707,415.268353227631
3999.06524041144,405.543779396293,141021.073011161,8980368446.60917,530.972147160507,415.249872804258,419.082119431235,547.803374127124,422.303231168708,415.335130174435,218.853773163963,415.268353184308
3922.22990038482,405.693943345852,139277.572109225,8883407947.20664,527.764769200831,415.249949670061,416.933324583347,546.982233624067,422.257608197634,415.335356173658,218.868700048361,415.268353140985
3847.83740862618,405.848118552837,137545.362501425,8784465806.79152,524.624808071747,415.250026535925,414.461703291681,546.166652325254,422.212045611965,415.33557935375,218.884155520112,415.268353097663
3775.78346169945,406.006335786969,135824.435304284,8683568232.97122,521.550841241524,415.25010340185,411.700661684855,545.356581056093,422.166543219979,415.335799734825,218.900158942249,415.26835305434
3705.96931439166,406.1686261459,134114.781659115,8580745209.40269,518.541479614413,415.250180267836,408.684073562573,544.551971172929,422.121100830912,415.336017336837,218.916730402131,415.268353011017
